                  T:                  E:               E^2:                   M:               M^2:
                   2         -1.74554032         30472.01158        0.9112852789         8305.185896
                   2.1        -1.661994193         27626.48128        0.8686338319         7547.250262
                  2.15        -1.609847144         25921.40713        0.8358263577         6990.051711
                   2.2        -1.546327204          23918.1652        0.7845088134         6165.467555
                  2.21        -1.532371165          23488.8532         0.771940529         5971.652233
                  2.22        -1.516879879         23017.04241        0.7551170799         5719.416151
                  2.23        -1.500237283         22515.50468        0.7332143929         5404.348312
                  2.24        -1.482571147         21989.10332        0.7096219111         5069.968068
                  2.25        -1.463825963         21438.07693        0.6751623254         4640.306154
                  2.26        -1.444140845         20866.15347        0.6411580526         4213.262841
                 2.265        -1.430877009         20485.94142        0.6030381236          3799.65242
                  2.27        -1.420661586         20194.88715        0.5784105098         3540.263272
                 2.275        -1.404253832         19732.41181        0.5064380592          2884.96784
                  2.28         -1.39427383         19452.95032        0.4866828201         2683.561046
                  2.29        -1.367097697         18701.44519        0.3757120696         1771.688394
                   2.3        -1.346412144         18139.13233        0.3152362263         1321.132908
                  2.31        -1.328273318         17652.92755        0.2718925362         1014.592611
                  2.32        -1.310611177         17186.08821         0.231088674         755.7184684
                  2.37        -1.239485844         15370.26957        0.1249465946         240.8355842
                  2.42        -1.182304267          13984.6067        0.0915502554         130.2785606
                   2.5        -1.106156771         12241.21592       0.06395713843         64.07536277
                   2.6        -1.028296124         10578.70775       0.04795641803         36.12398253
