Venus
                 x:                  y:                  z:                  t: 
         264.5706362        -11.97294312        -15.49653921               0.127
         264.5706371        -11.97292301        -15.49653898               0.128
          264.570638        -11.97290289        -15.49653876               0.129
         264.5706388        -11.97288278        -15.49653853                0.13
         264.5706397        -11.97286267        -15.49653831               0.131
         264.5706406        -11.97284256        -15.49653808               0.132
         264.5706415        -11.97282244        -15.49653786               0.133
         264.5706423        -11.97280233        -15.49653763               0.134
         264.5706432        -11.97278222        -15.49653741               0.135
         264.5706441        -11.97276211        -15.49653718               0.136
         264.5706449        -11.97274199        -15.49653695               0.137
         264.5706458        -11.97272188        -15.49653673               0.138
         264.5706467        -11.97270177         -15.4965365               0.139
         264.5706475        -11.97268165        -15.49653628                0.14
         264.5706484        -11.97266154        -15.49653605               0.141
         264.5706492        -11.97264143        -15.49653582               0.142
         264.5706501        -11.97262131         -15.4965356               0.143
         264.5706509         -11.9726012        -15.49653537               0.144
         264.5706518        -11.97258109        -15.49653515               0.145
         264.5706527        -11.97256098        -15.49653492               0.146
         264.5706535        -11.97254086        -15.49653469               0.147
         264.5706544        -11.97252075        -15.49653447               0.148
         264.5706552        -11.97250064        -15.49653424               0.149
         264.5706561        -11.97248052        -15.49653401                0.15
         264.5706569        -11.97246041        -15.49653379               0.151
         264.5706578         -11.9724403        -15.49653356               0.152
         264.5706586        -11.97242018        -15.49653333               0.153
         264.5706595        -11.97240007        -15.49653311               0.154
         264.5706603        -11.97237995        -15.49653288               0.155
         264.5706612        -11.97235984        -15.49653265               0.156
          264.570662        -11.97233973        -15.49653243               0.157
         264.5706628        -11.97231961         -15.4965322               0.158
         264.5706637         -11.9722995        -15.49653197               0.159
         264.5706645        -11.97227939        -15.49653174                0.16
         264.5706654        -11.97225927        -15.49653152               0.161
         264.5706662        -11.97223916        -15.49653129               0.162
          264.570667        -11.97221904        -15.49653106               0.163
         264.5706679        -11.97219893        -15.49653083               0.164
         264.5706687        -11.97217882        -15.49653061               0.165
         264.5706695         -11.9721587        -15.49653038               0.166
         264.5706704        -11.97213859        -15.49653015               0.167
         264.5706712        -11.97211847        -15.49652992               0.168
          264.570672        -11.97209836         -15.4965297               0.169
         264.5706728        -11.97207824        -15.49652947                0.17
         264.5706737        -11.97205813        -15.49652924               0.171
         264.5706745        -11.97203801        -15.49652901               0.172
         264.5706753         -11.9720179        -15.49652878               0.173
         264.5706761        -11.97199779        -15.49652856               0.174
          264.570677        -11.97197767        -15.49652833               0.175
         264.5706778        -11.97195756         -15.4965281               0.176
         264.5706786        -11.97193744        -15.49652787               0.177
         264.5706794        -11.97191733        -15.49652764               0.178
         264.5706803        -11.97189721        -15.49652741               0.179
         264.5706811         -11.9718771        -15.49652718                0.18
         264.5706819        -11.97185698        -15.49652696               0.181
         264.5706827        -11.97183687        -15.49652673               0.182
         264.5706835        -11.97181675         -15.4965265               0.183
         264.5706843        -11.97179664        -15.49652627               0.184
         264.5706851        -11.97177652        -15.49652604               0.185
         264.5706859        -11.97175641        -15.49652581               0.186
         264.5706868        -11.97173629        -15.49652558               0.187
         264.5706876        -11.97171618        -15.49652535               0.188
         264.5706884        -11.97169606        -15.49652512               0.189
         264.5706892        -11.97167594         -15.4965249                0.19
           264.57069        -11.97165583        -15.49652467               0.191
         264.5706908        -11.97163571        -15.49652444               0.192
         264.5706916         -11.9716156        -15.49652421               0.193
         264.5706924        -11.97159548        -15.49652398               0.194
         264.5706932        -11.97157537        -15.49652375               0.195
          264.570694        -11.97155525        -15.49652352               0.196
         264.5706948        -11.97153514        -15.49652329               0.197
         264.5706956        -11.97151502        -15.49652306               0.198
         264.5706964         -11.9714949        -15.49652283               0.199
         264.5706972        -11.97147479         -15.4965226                 0.2
          264.570698        -11.97145467        -15.49652237               0.201
         264.5706988        -11.97143456        -15.49652214               0.202
         264.5706996        -11.97141444        -15.49652191               0.203
         264.5707003        -11.97139432        -15.49652168               0.204
         264.5707011        -11.97137421        -15.49652145               0.205
         264.5707019        -11.97135409        -15.49652122               0.206
         264.5707027        -11.97133398        -15.49652099               0.207
         264.5707035        -11.97131386        -15.49652076               0.208
         264.5707043        -11.97129374        -15.49652053               0.209
         264.5707051        -11.97127363         -15.4965203                0.21
         264.5707058        -11.97125351        -15.49652007               0.211
         264.5707066        -11.97123339        -15.49651984               0.212
         264.5707074        -11.97121328        -15.49651961               0.213
         264.5707082        -11.97119316        -15.49651937               0.214
          264.570709        -11.97117304        -15.49651914               0.215
         264.5707097        -11.97115293        -15.49651891               0.216
         264.5707105        -11.97113281        -15.49651868               0.217
         264.5707113        -11.97111269        -15.49651845               0.218
         264.5707121        -11.97109258        -15.49651822               0.219
         264.5707128        -11.97107246        -15.49651799                0.22
         264.5707136        -11.97105234        -15.49651776               0.221
         264.5707144        -11.97103222        -15.49651753               0.222
         264.5707151        -11.97101211        -15.49651729               0.223
         264.5707159        -11.97099199        -15.49651706               0.224
         264.5707167        -11.97097187        -15.49651683               0.225
         264.5707174        -11.97095176         -15.4965166               0.226
         264.5707182        -11.97093164        -15.49651637               0.227
          264.570719        -11.97091152        -15.49651614               0.228
         264.5707197         -11.9708914        -15.49651591               0.229
         264.5707205        -11.97087129        -15.49651567                0.23
         264.5707213        -11.97085117        -15.49651544               0.231
          264.570722        -11.97083105        -15.49651521               0.232
         264.5707228        -11.97081093        -15.49651498               0.233
         264.5707235        -11.97079082        -15.49651475               0.234
         264.5707243         -11.9707707        -15.49651451               0.235
          264.570725        -11.97075058        -15.49651428               0.236
         264.5707258        -11.97073046        -15.49651405               0.237
         264.5707266        -11.97071035        -15.49651382               0.238
         264.5707273        -11.97069023        -15.49651358               0.239
         264.5707281        -11.97067011        -15.49651335                0.24
         264.5707288        -11.97064999        -15.49651312               0.241
         264.5707295        -11.97062987        -15.49651289               0.242
         264.5707303        -11.97060976        -15.49651265               0.243
          264.570731        -11.97058964        -15.49651242               0.244
         264.5707318        -11.97056952        -15.49651219               0.245
         264.5707325         -11.9705494        -15.49651196               0.246
         264.5707333        -11.97052928        -15.49651172               0.247
          264.570734        -11.97050916        -15.49651149               0.248
         264.5707348        -11.97048905        -15.49651126               0.249
         264.5707355        -11.97046893        -15.49651102                0.25
         264.5707362        -11.97044881        -15.49651079               0.251
          264.570737        -11.97042869        -15.49651056               0.252
         264.5707377        -11.97040857        -15.49651032               0.253
         264.5707384        -11.97038845        -15.49651009               0.254
         264.5707392        -11.97036833        -15.49650986               0.255
         264.5707399        -11.97034822        -15.49650962               0.256
         264.5707406         -11.9703281        -15.49650939               0.257
         264.5707414        -11.97030798        -15.49650916               0.258
         264.5707421        -11.97028786        -15.49650892               0.259
         264.5707428        -11.97026774        -15.49650869                0.26
         264.5707435        -11.97024762        -15.49650845               0.261
         264.5707443         -11.9702275        -15.49650822               0.262
          264.570745        -11.97020738        -15.49650799               0.263
         264.5707457        -11.97018726        -15.49650775               0.264
         264.5707464        -11.97016714        -15.49650752               0.265
         264.5707472        -11.97014703        -15.49650728               0.266
         264.5707479        -11.97012691        -15.49650705               0.267
         264.5707486        -11.97010679        -15.49650682               0.268
         264.5707493        -11.97008667        -15.49650658               0.269
           264.57075        -11.97006655        -15.49650635                0.27
         264.5707508        -11.97004643        -15.49650611               0.271
         264.5707515        -11.97002631        -15.49650588               0.272
         264.5707522        -11.97000619        -15.49650564               0.273
         264.5707529        -11.96998607        -15.49650541               0.274
         264.5707536        -11.96996595        -15.49650517               0.275
         264.5707543        -11.96994583        -15.49650494               0.276
          264.570755        -11.96992571         -15.4965047               0.277
         264.5707557        -11.96990559        -15.49650447               0.278
         264.5707564        -11.96988547        -15.49650423               0.279
         264.5707571        -11.96986535          -15.496504                0.28
         264.5707578        -11.96984523        -15.49650376               0.281
         264.5707586        -11.96982511        -15.49650353               0.282
         264.5707593        -11.96980499        -15.49650329               0.283
           264.57076        -11.96978487        -15.49650306               0.284
         264.5707607        -11.96976475        -15.49650282               0.285
         264.5707614        -11.96974463        -15.49650259               0.286
          264.570762        -11.96972451        -15.49650235               0.287
         264.5707627        -11.96970439        -15.49650212               0.288
         264.5707634        -11.96968427        -15.49650188               0.289
         264.5707641        -11.96966415        -15.49650164                0.29
         264.5707648        -11.96964403        -15.49650141               0.291
         264.5707655        -11.96962391        -15.49650117               0.292
         264.5707662        -11.96960379        -15.49650094               0.293
         264.5707669        -11.96958367         -15.4965007               0.294
         264.5707676        -11.96956354        -15.49650046               0.295
         264.5707683        -11.96954342        -15.49650023               0.296
          264.570769         -11.9695233        -15.49649999               0.297
         264.5707697        -11.96950318        -15.49649976               0.298
         264.5707703        -11.96948306        -15.49649952               0.299
          264.570771        -11.96946294        -15.49649928                 0.3
         264.5707717        -11.96944282        -15.49649905               0.301
         264.5707724         -11.9694227        -15.49649881               0.302
         264.5707731        -11.96940258        -15.49649857               0.303
         264.5707737        -11.96938246        -15.49649834               0.304
         264.5707744        -11.96936233         -15.4964981               0.305
         264.5707751        -11.96934221        -15.49649786               0.306
         264.5707758        -11.96932209        -15.49649763               0.307
         264.5707764        -11.96930197        -15.49649739               0.308
         264.5707771        -11.96928185        -15.49649715               0.309
         264.5707778        -11.96926173        -15.49649692                0.31
         264.5707785        -11.96924161        -15.49649668               0.311
         264.5707791        -11.96922148        -15.49649644               0.312
         264.5707798        -11.96920136         -15.4964962               0.313
         264.5707805        -11.96918124        -15.49649597               0.314
         264.5707811        -11.96916112        -15.49649573               0.315
         264.5707818          -11.969141        -15.49649549               0.316
         264.5707825        -11.96912088        -15.49649525               0.317
         264.5707831        -11.96910075        -15.49649502               0.318
         264.5707838        -11.96908063        -15.49649478               0.319
         264.5707844        -11.96906051        -15.49649454                0.32
         264.5707851        -11.96904039         -15.4964943               0.321
         264.5707858        -11.96902027        -15.49649407               0.322
         264.5707864        -11.96900014        -15.49649383               0.323
         264.5707871        -11.96898002        -15.49649359               0.324
         264.5707877         -11.9689599        -15.49649335               0.325
         264.5707884        -11.96893978        -15.49649311               0.326
