Neptune
                 x:                  y:                  z:                  t: 
         10560.25204        -2831.801235        -185.0559774               0.128
         10560.25204        -2831.801232        -185.0559774               0.129
         10560.25204        -2831.801229        -185.0559775                0.13
         10560.25204        -2831.801226        -185.0559776               0.131
         10560.25204        -2831.801223        -185.0559777               0.132
         10560.25204         -2831.80122        -185.0559778               0.133
         10560.25204        -2831.801216        -185.0559778               0.134
         10560.25204        -2831.801213        -185.0559779               0.135
         10560.25204         -2831.80121         -185.055978               0.136
         10560.25204        -2831.801207        -185.0559781               0.137
         10560.25205        -2831.801204        -185.0559782               0.138
         10560.25205        -2831.801201        -185.0559782               0.139
         10560.25205        -2831.801198        -185.0559783                0.14
         10560.25205        -2831.801195        -185.0559784               0.141
         10560.25205        -2831.801192        -185.0559785               0.142
         10560.25205        -2831.801189        -185.0559786               0.143
         10560.25205        -2831.801186        -185.0559787               0.144
         10560.25205        -2831.801183        -185.0559787               0.145
         10560.25205         -2831.80118        -185.0559788               0.146
         10560.25205        -2831.801177        -185.0559789               0.147
         10560.25205        -2831.801174         -185.055979               0.148
         10560.25205        -2831.801171        -185.0559791               0.149
         10560.25205        -2831.801168        -185.0559791                0.15
         10560.25206        -2831.801165        -185.0559792               0.151
         10560.25206        -2831.801162        -185.0559793               0.152
         10560.25206        -2831.801159        -185.0559794               0.153
         10560.25206        -2831.801155        -185.0559795               0.154
         10560.25206        -2831.801152        -185.0559796               0.155
         10560.25206        -2831.801149        -185.0559796               0.156
         10560.25206        -2831.801146        -185.0559797               0.157
         10560.25206        -2831.801143        -185.0559798               0.158
         10560.25206         -2831.80114        -185.0559799               0.159
         10560.25206        -2831.801137          -185.05598                0.16
         10560.25206        -2831.801134          -185.05598               0.161
         10560.25206        -2831.801131        -185.0559801               0.162
         10560.25206        -2831.801128        -185.0559802               0.163
         10560.25207        -2831.801125        -185.0559803               0.164
         10560.25207        -2831.801122        -185.0559804               0.165
         10560.25207        -2831.801119        -185.0559804               0.166
         10560.25207        -2831.801116        -185.0559805               0.167
         10560.25207        -2831.801113        -185.0559806               0.168
         10560.25207         -2831.80111        -185.0559807               0.169
         10560.25207        -2831.801107        -185.0559808                0.17
         10560.25207        -2831.801104        -185.0559809               0.171
         10560.25207        -2831.801101        -185.0559809               0.172
         10560.25207        -2831.801098         -185.055981               0.173
         10560.25207        -2831.801094        -185.0559811               0.174
         10560.25207        -2831.801091        -185.0559812               0.175
         10560.25208        -2831.801088        -185.0559813               0.176
         10560.25208        -2831.801085        -185.0559813               0.177
         10560.25208        -2831.801082        -185.0559814               0.178
         10560.25208        -2831.801079        -185.0559815               0.179
         10560.25208        -2831.801076        -185.0559816                0.18
         10560.25208        -2831.801073        -185.0559817               0.181
         10560.25208         -2831.80107        -185.0559817               0.182
         10560.25208        -2831.801067        -185.0559818               0.183
