Mercury
                 x:                  y:                  z:                  t: 
        -120.3251677        -106.9765606         2.051789212               0.111
        -120.3251543          -106.97658         2.051786401               0.112
         -120.325141        -106.9765994         2.051783591               0.113
        -120.3251276        -106.9766187          2.05178078               0.114
        -120.3251142        -106.9766381          2.05177797               0.115
        -120.3251008        -106.9766574         2.051775159               0.116
        -120.3250874        -106.9766768         2.051772349               0.117
         -120.325074        -106.9766961         2.051769538               0.118
        -120.3250606        -106.9767155         2.051766728               0.119
        -120.3250472        -106.9767348         2.051763917                0.12
        -120.3250338        -106.9767542         2.051761106               0.121
        -120.3250204        -106.9767735         2.051758295               0.122
         -120.325007        -106.9767929         2.051755485               0.123
        -120.3249936        -106.9768122         2.051752674               0.124
        -120.3249802        -106.9768315         2.051749863               0.125
        -120.3249667        -106.9768509         2.051747052               0.126
        -120.3249533        -106.9768702         2.051744241               0.127
        -120.3249399        -106.9768895         2.051741431               0.128
        -120.3249265        -106.9769089          2.05173862               0.129
        -120.3249131        -106.9769282         2.051735809                0.13
        -120.3248997        -106.9769475         2.051732998               0.131
        -120.3248862        -106.9769669         2.051730187               0.132
        -120.3248728        -106.9769862         2.051727376               0.133
        -120.3248594        -106.9770055         2.051724565               0.134
         -120.324846        -106.9770249         2.051721754               0.135
        -120.3248325        -106.9770442         2.051718943               0.136
        -120.3248191        -106.9770635         2.051716131               0.137
        -120.3248057        -106.9770828          2.05171332               0.138
        -120.3247922        -106.9771021         2.051710509               0.139
        -120.3247788        -106.9771215         2.051707698                0.14
        -120.3247654        -106.9771408         2.051704887               0.141
        -120.3247519        -106.9771601         2.051702075               0.142
        -120.3247385        -106.9771794         2.051699264               0.143
        -120.3247251        -106.9771987         2.051696453               0.144
        -120.3247116         -106.977218         2.051693641               0.145
        -120.3246982        -106.9772373          2.05169083               0.146
        -120.3246847        -106.9772566         2.051688018               0.147
        -120.3246713        -106.9772759         2.051685207               0.148
        -120.3246578        -106.9772953         2.051682396               0.149
        -120.3246444        -106.9773146         2.051679584                0.15
        -120.3246309        -106.9773339         2.051676772               0.151
        -120.3246175        -106.9773532         2.051673961               0.152
         -120.324604        -106.9773725         2.051671149               0.153
        -120.3245906        -106.9773918         2.051668338               0.154
        -120.3245771         -106.977411         2.051665526               0.155
        -120.3245636        -106.9774303         2.051662714               0.156
        -120.3245502        -106.9774496         2.051659903               0.157
        -120.3245367        -106.9774689         2.051657091               0.158
        -120.3245232        -106.9774882         2.051654279               0.159
        -120.3245098        -106.9775075         2.051651467                0.16
        -120.3244963        -106.9775268         2.051648656               0.161
        -120.3244828        -106.9775461         2.051645844               0.162
        -120.3244694        -106.9775654         2.051643032               0.163
        -120.3244559        -106.9775846          2.05164022               0.164
        -120.3244424        -106.9776039         2.051637408               0.165
        -120.3244289        -106.9776232         2.051634596               0.166
        -120.3244155        -106.9776425         2.051631784               0.167
         -120.324402        -106.9776618         2.051628972               0.168
        -120.3243885         -106.977681          2.05162616               0.169
         -120.324375        -106.9777003         2.051623348                0.17
        -120.3243615        -106.9777196         2.051620536               0.171
         -120.324348        -106.9777389         2.051617724               0.172
        -120.3243345        -106.9777581         2.051614912               0.173
        -120.3243211        -106.9777774         2.051612099               0.174
        -120.3243076        -106.9777967         2.051609287               0.175
        -120.3242941        -106.9778159         2.051606475               0.176
        -120.3242806        -106.9778352         2.051603663               0.177
        -120.3242671        -106.9778544          2.05160085               0.178
        -120.3242536        -106.9778737         2.051598038               0.179
        -120.3242401         -106.977893         2.051595226                0.18
        -120.3242266        -106.9779122         2.051592413               0.181
        -120.3242131        -106.9779315         2.051589601               0.182
        -120.3241996        -106.9779507         2.051586789               0.183
        -120.3241861          -106.97797         2.051583976               0.184
        -120.3241726        -106.9779892         2.051581164               0.185
         -120.324159        -106.9780085         2.051578351               0.186
        -120.3241455        -106.9780277         2.051575539               0.187
         -120.324132         -106.978047         2.051572726               0.188
        -120.3241185        -106.9780662         2.051569913               0.189
         -120.324105        -106.9780855         2.051567101                0.19
        -120.3240915        -106.9781047         2.051564288               0.191
        -120.3240779         -106.978124         2.051561475               0.192
        -120.3240644        -106.9781432         2.051558663               0.193
        -120.3240509        -106.9781624          2.05155585               0.194
        -120.3240374        -106.9781817         2.051553037               0.195
        -120.3240239        -106.9782009         2.051550224               0.196
        -120.3240103        -106.9782201         2.051547412               0.197
        -120.3239968        -106.9782394         2.051544599               0.198
        -120.3239833        -106.9782586         2.051541786               0.199
        -120.3239697        -106.9782778         2.051538973                 0.2
        -120.3239562        -106.9782971          2.05153616               0.201
        -120.3239427        -106.9783163         2.051533347               0.202
        -120.3239291        -106.9783355         2.051530534               0.203
        -120.3239156        -106.9783547         2.051527721               0.204
         -120.323902         -106.978374         2.051524908               0.205
        -120.3238885        -106.9783932         2.051522095               0.206
        -120.3238749        -106.9784124         2.051519282               0.207
        -120.3238614        -106.9784316         2.051516469               0.208
        -120.3238479        -106.9784508         2.051513655               0.209
        -120.3238343        -106.9784701         2.051510842                0.21
        -120.3238207        -106.9784893         2.051508029               0.211
        -120.3238072        -106.9785085         2.051505216               0.212
        -120.3237936        -106.9785277         2.051502403               0.213
        -120.3237801        -106.9785469         2.051499589               0.214
        -120.3237665        -106.9785661         2.051496776               0.215
         -120.323753        -106.9785853         2.051493963               0.216
        -120.3237394        -106.9786045         2.051491149               0.217
        -120.3237258        -106.9786237         2.051488336               0.218
        -120.3237123        -106.9786429         2.051485522               0.219
        -120.3236987        -106.9786621         2.051482709                0.22
        -120.3236851        -106.9786813         2.051479895               0.221
        -120.3236716        -106.9787005         2.051477082               0.222
         -120.323658        -106.9787197         2.051474268               0.223
        -120.3236444        -106.9787389         2.051471455               0.224
        -120.3236309        -106.9787581         2.051468641               0.225
        -120.3236173        -106.9787773         2.051465827               0.226
        -120.3236037        -106.9787965         2.051463014               0.227
        -120.3235901        -106.9788157           2.0514602               0.228
        -120.3235765        -106.9788349         2.051457386               0.229
         -120.323563         -106.978854         2.051454573                0.23
        -120.3235494        -106.9788732         2.051451759               0.231
        -120.3235358        -106.9788924         2.051448945               0.232
        -120.3235222        -106.9789116         2.051446131               0.233
        -120.3235086        -106.9789308         2.051443317               0.234
         -120.323495          -106.97895         2.051440503               0.235
        -120.3234814        -106.9789691         2.051437689               0.236
        -120.3234678        -106.9789883         2.051434875               0.237
        -120.3234542        -106.9790075         2.051432061               0.238
        -120.3234406        -106.9790266         2.051429247               0.239
         -120.323427        -106.9790458         2.051426433                0.24
        -120.3234134         -106.979065         2.051423619               0.241
        -120.3233998        -106.9790842         2.051420805               0.242
        -120.3233862        -106.9791033         2.051417991               0.243
        -120.3233726        -106.9791225         2.051415177               0.244
         -120.323359        -106.9791417         2.051412363               0.245
        -120.3233454        -106.9791608         2.051409549               0.246
        -120.3233318          -106.97918         2.051406734               0.247
        -120.3233182        -106.9791991          2.05140392               0.248
        -120.3233046        -106.9792183         2.051401106               0.249
        -120.3232909        -106.9792374         2.051398291                0.25
        -120.3232773        -106.9792566         2.051395477               0.251
        -120.3232637        -106.9792758         2.051392663               0.252
        -120.3232501        -106.9792949         2.051389848               0.253
        -120.3232365        -106.9793141         2.051387034               0.254
        -120.3232228        -106.9793332         2.051384219               0.255
        -120.3232092        -106.9793524         2.051381405               0.256
        -120.3231956        -106.9793715          2.05137859               0.257
         -120.323182        -106.9793906         2.051375776               0.258
        -120.3231683        -106.9794098         2.051372961               0.259
        -120.3231547        -106.9794289         2.051370147                0.26
        -120.3231411        -106.9794481         2.051367332               0.261
        -120.3231274        -106.9794672         2.051364517               0.262
        -120.3231138        -106.9794863         2.051361703               0.263
        -120.3231001        -106.9795055         2.051358888               0.264
        -120.3230865        -106.9795246         2.051356073               0.265
        -120.3230729        -106.9795437         2.051353259               0.266
        -120.3230592        -106.9795629         2.051350444               0.267
        -120.3230456         -106.979582         2.051347629               0.268
        -120.3230319        -106.9796011         2.051344814               0.269
        -120.3230183        -106.9796203         2.051341999                0.27
        -120.3230046        -106.9796394         2.051339184               0.271
         -120.322991        -106.9796585         2.051336369               0.272
        -120.3229773        -106.9796776         2.051333554               0.273
        -120.3229637        -106.9796968         2.051330739               0.274
          -120.32295        -106.9797159         2.051327924               0.275
        -120.3229364         -106.979735         2.051325109               0.276
        -120.3229227        -106.9797541         2.051322294               0.277
         -120.322909        -106.9797732         2.051319479               0.278
        -120.3228954        -106.9797923         2.051316664               0.279
        -120.3228817        -106.9798115         2.051313849                0.28
         -120.322868        -106.9798306         2.051311034               0.281
        -120.3228544        -106.9798497         2.051308218               0.282
        -120.3228407        -106.9798688         2.051305403               0.283
         -120.322827        -106.9798879         2.051302588               0.284
        -120.3228133         -106.979907         2.051299773               0.285
        -120.3227997        -106.9799261         2.051296957               0.286
         -120.322786        -106.9799452         2.051294142               0.287
        -120.3227723        -106.9799643         2.051291326               0.288
        -120.3227586        -106.9799834         2.051288511               0.289
         -120.322745        -106.9800025         2.051285696                0.29
        -120.3227313        -106.9800216          2.05128288               0.291
        -120.3227176        -106.9800407         2.051280065               0.292
        -120.3227039        -106.9800598         2.051277249               0.293
        -120.3226902        -106.9800789         2.051274434               0.294
        -120.3226765         -106.980098         2.051271618               0.295
        -120.3226628         -106.980117         2.051268802               0.296
        -120.3226491        -106.9801361         2.051265987               0.297
        -120.3226354        -106.9801552         2.051263171               0.298
        -120.3226217        -106.9801743         2.051260355               0.299
         -120.322608        -106.9801934          2.05125754                 0.3
        -120.3225943        -106.9802125         2.051254724               0.301
        -120.3225806        -106.9802316         2.051251908               0.302
        -120.3225669        -106.9802506         2.051249092               0.303
        -120.3225532        -106.9802697         2.051246276               0.304
        -120.3225395        -106.9802888         2.051243461               0.305
        -120.3225258        -106.9803079         2.051240645               0.306
        -120.3225121        -106.9803269         2.051237829               0.307
        -120.3224984         -106.980346         2.051235013               0.308
        -120.3224847        -106.9803651         2.051232197               0.309
         -120.322471        -106.9803841         2.051229381                0.31
        -120.3224572        -106.9804032         2.051226565               0.311
        -120.3224435        -106.9804223         2.051223749               0.312
        -120.3224298        -106.9804413         2.051220933               0.313
        -120.3224161        -106.9804604         2.051218117               0.314
        -120.3224024        -106.9804795           2.0512153               0.315
        -120.3223886        -106.9804985         2.051212484               0.316
        -120.3223749        -106.9805176         2.051209668               0.317
        -120.3223612        -106.9805366         2.051206852               0.318
        -120.3223475        -106.9805557         2.051204035               0.319
        -120.3223337        -106.9805747         2.051201219                0.32
          -120.32232        -106.9805938         2.051198403               0.321
        -120.3223063        -106.9806128         2.051195587               0.322
        -120.3222925        -106.9806319          2.05119277               0.323
        -120.3222788        -106.9806509         2.051189954               0.324
         -120.322265          -106.98067         2.051187137               0.325
        -120.3222513         -106.980689         2.051184321               0.326
        -120.3222376        -106.9807081         2.051181504               0.327
        -120.3222238        -106.9807271         2.051178688               0.328
        -120.3222101        -106.9807462         2.051175871               0.329
        -120.3221963        -106.9807652         2.051173055                0.33
        -120.3221826        -106.9807842         2.051170238               0.331
        -120.3221688        -106.9808033         2.051167422               0.332
        -120.3221551        -106.9808223         2.051164605               0.333
        -120.3221413        -106.9808413         2.051161788               0.334
        -120.3221276        -106.9808604         2.051158971               0.335
        -120.3221138        -106.9808794         2.051156155               0.336
