Jupiter
                 x:                  y:                  z:                  t: 
        -995.2564052        -1689.204739         29.26837846               0.127
        -995.2563988        -1689.204742         29.26837833               0.128
        -995.2563924        -1689.204746          29.2683782               0.129
        -995.2563859        -1689.204749         29.26837807                0.13
        -995.2563795        -1689.204753         29.26837794               0.131
        -995.2563731        -1689.204756         29.26837781               0.132
        -995.2563667         -1689.20476         29.26837769               0.133
        -995.2563603        -1689.204763         29.26837756               0.134
        -995.2563539        -1689.204767         29.26837743               0.135
        -995.2563475         -1689.20477          29.2683773               0.136
         -995.256341        -1689.204774         29.26837717               0.137
        -995.2563346        -1689.204777         29.26837704               0.138
        -995.2563282        -1689.204781         29.26837691               0.139
        -995.2563218        -1689.204784         29.26837678                0.14
        -995.2563154        -1689.204788         29.26837665               0.141
         -995.256309        -1689.204791         29.26837652               0.142
        -995.2563026        -1689.204794         29.26837639               0.143
        -995.2562961        -1689.204798         29.26837627               0.144
        -995.2562897        -1689.204801         29.26837614               0.145
        -995.2562833        -1689.204805         29.26837601               0.146
        -995.2562769        -1689.204808         29.26837588               0.147
        -995.2562705        -1689.204812         29.26837575               0.148
        -995.2562641        -1689.204815         29.26837562               0.149
        -995.2562577        -1689.204819         29.26837549                0.15
        -995.2562512        -1689.204822         29.26837536               0.151
        -995.2562448        -1689.204826         29.26837523               0.152
        -995.2562384        -1689.204829          29.2683751               0.153
         -995.256232        -1689.204833         29.26837497               0.154
        -995.2562256        -1689.204836         29.26837485               0.155
        -995.2562192         -1689.20484         29.26837472               0.156
        -995.2562128        -1689.204843         29.26837459               0.157
        -995.2562063        -1689.204846         29.26837446               0.158
        -995.2561999         -1689.20485         29.26837433               0.159
        -995.2561935        -1689.204853          29.2683742                0.16
        -995.2561871        -1689.204857         29.26837407               0.161
        -995.2561807         -1689.20486         29.26837394               0.162
        -995.2561743        -1689.204864         29.26837381               0.163
        -995.2561679        -1689.204867         29.26837368               0.164
        -995.2561614        -1689.204871         29.26837355               0.165
         -995.256155        -1689.204874         29.26837343               0.166
        -995.2561486        -1689.204878          29.2683733               0.167
        -995.2561422        -1689.204881         29.26837317               0.168
        -995.2561358        -1689.204885         29.26837304               0.169
        -995.2561294        -1689.204888         29.26837291                0.17
        -995.2561229        -1689.204892         29.26837278               0.171
        -995.2561165        -1689.204895         29.26837265               0.172
        -995.2561101        -1689.204898         29.26837252               0.173
        -995.2561037        -1689.204902         29.26837239               0.174
        -995.2560973        -1689.204905         29.26837226               0.175
        -995.2560909        -1689.204909         29.26837213               0.176
        -995.2560845        -1689.204912         29.26837201               0.177
         -995.256078        -1689.204916         29.26837188               0.178
        -995.2560716        -1689.204919         29.26837175               0.179
        -995.2560652        -1689.204923         29.26837162                0.18
        -995.2560588        -1689.204926         29.26837149               0.181
        -995.2560524         -1689.20493         29.26837136               0.182
         -995.256046        -1689.204933         29.26837123               0.183
        -995.2560396        -1689.204937          29.2683711               0.184
        -995.2560331         -1689.20494         29.26837097               0.185
        -995.2560267        -1689.204944         29.26837084               0.186
        -995.2560203        -1689.204947         29.26837071               0.187
        -995.2560139         -1689.20495         29.26837059               0.188
        -995.2560075        -1689.204954         29.26837046               0.189
        -995.2560011        -1689.204957         29.26837033                0.19
        -995.2559946        -1689.204961          29.2683702               0.191
        -995.2559882        -1689.204964         29.26837007               0.192
        -995.2559818        -1689.204968         29.26836994               0.193
        -995.2559754        -1689.204971         29.26836981               0.194
         -995.255969        -1689.204975         29.26836968               0.195
        -995.2559626        -1689.204978         29.26836955               0.196
        -995.2559562        -1689.204982         29.26836942               0.197
        -995.2559497        -1689.204985         29.26836929               0.198
        -995.2559433        -1689.204989         29.26836916               0.199
        -995.2559369        -1689.204992         29.26836904                 0.2
        -995.2559305        -1689.204995         29.26836891               0.201
        -995.2559241        -1689.204999         29.26836878               0.202
        -995.2559177        -1689.205002         29.26836865               0.203
        -995.2559112        -1689.205006         29.26836852               0.204
        -995.2559048        -1689.205009         29.26836839               0.205
        -995.2558984        -1689.205013         29.26836826               0.206
         -995.255892        -1689.205016         29.26836813               0.207
        -995.2558856         -1689.20502           29.268368               0.208
        -995.2558792        -1689.205023         29.26836787               0.209
        -995.2558727        -1689.205027         29.26836774                0.21
        -995.2558663         -1689.20503         29.26836762               0.211
        -995.2558599        -1689.205034         29.26836749               0.212
        -995.2558535        -1689.205037         29.26836736               0.213
        -995.2558471        -1689.205041         29.26836723               0.214
        -995.2558407        -1689.205044          29.2683671               0.215
        -995.2558343        -1689.205047         29.26836697               0.216
        -995.2558278        -1689.205051         29.26836684               0.217
        -995.2558214        -1689.205054         29.26836671               0.218
         -995.255815        -1689.205058         29.26836658               0.219
        -995.2558086        -1689.205061         29.26836645                0.22
        -995.2558022        -1689.205065         29.26836632               0.221
        -995.2557958        -1689.205068         29.26836619               0.222
        -995.2557893        -1689.205072         29.26836607               0.223
        -995.2557829        -1689.205075         29.26836594               0.224
        -995.2557765        -1689.205079         29.26836581               0.225
        -995.2557701        -1689.205082         29.26836568               0.226
        -995.2557637        -1689.205086         29.26836555               0.227
        -995.2557573        -1689.205089         29.26836542               0.228
        -995.2557508        -1689.205092         29.26836529               0.229
        -995.2557444        -1689.205096         29.26836516                0.23
         -995.255738        -1689.205099         29.26836503               0.231
        -995.2557316        -1689.205103          29.2683649               0.232
        -995.2557252        -1689.205106         29.26836477               0.233
        -995.2557188         -1689.20511         29.26836465               0.234
        -995.2557124        -1689.205113         29.26836452               0.235
        -995.2557059        -1689.205117         29.26836439               0.236
        -995.2556995         -1689.20512         29.26836426               0.237
        -995.2556931        -1689.205124         29.26836413               0.238
        -995.2556867        -1689.205127           29.268364               0.239
        -995.2556803        -1689.205131         29.26836387                0.24
        -995.2556739        -1689.205134         29.26836374               0.241
        -995.2556674        -1689.205138         29.26836361               0.242
         -995.255661        -1689.205141         29.26836348               0.243
        -995.2556546        -1689.205144         29.26836335               0.244
        -995.2556482        -1689.205148         29.26836322               0.245
        -995.2556418        -1689.205151          29.2683631               0.246
        -995.2556354        -1689.205155         29.26836297               0.247
        -995.2556289        -1689.205158         29.26836284               0.248
        -995.2556225        -1689.205162         29.26836271               0.249
        -995.2556161        -1689.205165         29.26836258                0.25
        -995.2556097        -1689.205169         29.26836245               0.251
        -995.2556033        -1689.205172         29.26836232               0.252
        -995.2555969        -1689.205176         29.26836219               0.253
        -995.2555904        -1689.205179         29.26836206               0.254
         -995.255584        -1689.205183         29.26836193               0.255
        -995.2555776        -1689.205186          29.2683618               0.256
        -995.2555712        -1689.205189         29.26836167               0.257
        -995.2555648        -1689.205193         29.26836155               0.258
        -995.2555584        -1689.205196         29.26836142               0.259
        -995.2555519          -1689.2052         29.26836129                0.26
        -995.2555455        -1689.205203         29.26836116               0.261
        -995.2555391        -1689.205207         29.26836103               0.262
        -995.2555327         -1689.20521          29.2683609               0.263
        -995.2555263        -1689.205214         29.26836077               0.264
        -995.2555199        -1689.205217         29.26836064               0.265
        -995.2555134        -1689.205221         29.26836051               0.266
         -995.255507        -1689.205224         29.26836038               0.267
        -995.2555006        -1689.205228         29.26836025               0.268
        -995.2554942        -1689.205231         29.26836012               0.269
        -995.2554878        -1689.205234            29.26836                0.27
        -995.2554814        -1689.205238         29.26835987               0.271
        -995.2554749        -1689.205241         29.26835974               0.272
        -995.2554685        -1689.205245         29.26835961               0.273
        -995.2554621        -1689.205248         29.26835948               0.274
        -995.2554557        -1689.205252         29.26835935               0.275
