                  T:                  E:               E^2:                   M:               M^2: 
                 2.1        -1.662395167         9952.971857        0.8694227778         2722.996475
                2.15        -1.610380478         9341.164141        0.8370041444         2525.518623
                 2.2        -1.546810111         8620.552014        0.7829661944         2220.887715
                2.21        -1.533561378         8473.739074        0.7743726111          2169.63383
                2.22        -1.516786989         8289.996292        0.7558987056         2071.701622
                2.23        -1.499046778         8098.489608        0.7213206278         1923.181707
                2.24        -1.483182022         7928.363656        0.7113268944          1853.27112
                2.25        -1.461913267         7704.011076        0.6696034278         1691.737111
                2.26        -1.443305144         7509.425939        0.6497162833          1574.30734
               2.261        -1.446740711         7544.741763        0.6626603167         1629.676619
               2.262          -1.4388207         7463.721544        0.6318898056         1518.443601
               2.263        -1.439526744         7470.918779        0.6353411722         1536.749046
               2.264        -1.433504044          7409.10444           0.6226486         1477.284901
               2.265        -1.429990311         7373.198848        0.6024524889         1417.605195
               2.266        -1.432045367         7393.958304        0.6138555111         1463.423863
               2.267        -1.428709544         7360.147398        0.6053711833         1434.430856
               2.268          -1.4274019         7345.675225        0.6148505222         1443.854804
               2.269          -1.4199172         7268.767389        0.5956846556         1361.861089
                2.27        -1.424544244         7316.807832        0.6066087556         1417.297936
               2.271          -1.4189936         7259.975602        0.5921960944         1360.738979
               2.272        -1.418292189         7253.299279        0.5902828889         1360.007345
               2.273        -1.412932944         7198.102905        0.5760145944         1298.560316
               2.274          -1.4054544         7123.084125        0.5409377167         1182.005101
               2.275        -1.410479389         7173.665181        0.5684456556         1283.735485
               2.276        -1.406255444         7130.492414        0.5606459611         1244.022563
               2.277        -1.409026789         7158.425781        0.5799052944         1306.766469
               2.278        -1.404077411         7108.638657        0.5575395167         1234.787465
               2.279        -1.407917322          7146.61267        0.5901024167         1336.643141
                2.28        -1.395603478         7023.886505        0.5183186667         1110.279747
                2.29        -1.382131144         6887.635058        0.5289863222         1108.648813
                 2.3        -1.358112589         6651.564669        0.4487573722         878.5498256
                2.31        -1.335878867         6435.172284        0.3936163278         703.0678341
                2.32        -1.319037967         6273.221792        0.3815527833         639.2609864
                2.37        -1.239753167         5540.367946        0.2051895944         224.1651047
                2.42        -1.181648767         5032.822088        0.1509540889         122.8035886
                2.47        -1.132318667         4621.286237        0.1145902611         73.54016874
                2.52        -1.089439578         4278.045012          0.10189395         57.48812692
                2.57        -1.049958556         3973.600512       0.08770916667         43.27165496
