                  T:                  E:               E^2:                   M:               M^2:
                   2        -1.733843588         19249.35569        0.8257800187         4722.030854
                2.05        -1.698822875         18479.46588        0.8454232656         4763.632349
                 2.1        -1.656369756         17566.63178        0.8421874938         4611.097888
                2.15        -1.603699281         16469.10853        0.8048917375         4254.944932
                 2.2          -1.5361552         15114.56904        0.7255486437         3587.949458
                2.25        -1.460876669         13670.38719        0.6563820344         2895.599815
                 2.3        -1.351413581         11699.96492        0.3849477656          1185.40627
                 2.35        -1.267908581         10296.66862        0.2129948781         417.8571517
                  2.4        -1.203281344         9272.987666        0.1173123469         136.3741813
                 2.45        -1.152559169         8507.710047       0.09513777187         89.42855699
                  2.5        -1.106282281         7838.008851       0.07968424375         64.35129903
                 2.55        -1.065702756         7273.658224       0.06848354688         46.93847844
                  2.6         -1.02813985         6770.021607         0.059428925         35.34951215
