                  T:                  E:               E^2:                   M:               M^2:
                   2         -1.74384175         4868.969055         0.906684625         1320.406319
                2.05        -1.705793325         4659.523838         0.889219525         1269.453753
                 2.1          -1.6607678          4417.71294        0.8645499625         1201.207183
                2.15         -1.60763995         4141.250064          0.82796275         1108.602605
                 2.2          -1.5420477         3812.406035        0.7691097125          969.372409
                2.25         -1.46215075         3430.637781          0.67760165         774.6299564
                 2.3        -1.373605925         3029.640232        0.5428972625         540.7451511
                 2.35        -1.273826525         2604.823823         0.348047975         259.8556675
                  2.4          -1.2071656          2338.64201        0.2559258875         151.7050342
                 2.45        -1.153309775          2134.15468        0.1998066125         95.16194853
                  2.5        -1.107127325         1966.734751        0.1627417125         64.93486307
                 2.55        -1.064843825         1819.276311           0.1361143          45.6009695
                  2.6         -1.02848745         1697.225701        0.1206061375         35.97617692
