                  T:                  E:               E^2:                   M:               M^2:
                   2        -1.738103812         30219.24796          0.86954281         7767.769281
                2.05         -1.67425408         28049.78808         0.598515898         4838.016103
                 2.1        -1.655895136         27429.44151         0.835236236         7143.985589
                2.15        -1.598673932           25570.995         0.748897646         6100.984603
                 2.2        -1.541436404         23771.28073         0.757449218         5862.331057
                2.25        -1.450580176         21056.36991         0.584493392         3830.225485
                 2.3        -1.344767292         18096.23436         0.295092318         1252.413038
                 2.35        -1.265666708         16026.74838         0.154824854         362.3114127
                  2.4        -1.204424844         14512.92633         0.106476308         175.5160019
                 2.45        -1.151858708         13273.67414          0.07567956         91.17272844
                  2.5         -1.10586448         12234.70712         0.064590132         65.43749504
                 2.55        -1.065204456         11351.68069         0.054829974         47.54688778
                  2.6         -1.02817996         10576.27253         0.048973068         37.88691369
