                  T:                  E:               E^2:                   M:               M^2: 
                 2.1          -1.6622699         17688.29967        0.8690052406         4835.028142
                2.15        -1.610521419         16605.40823        0.8369636875         4486.927842
                 2.2        -1.547770375         15338.49098        0.7867600625         3971.177005
                2.21        -1.533593025         15059.11103        0.7759308125         3862.232443
                2.22        -1.516153138         14719.32298        0.7531815938         3646.676591
                2.23        -1.499522831         14398.90259        0.7327762938         3459.133698
                2.24        -1.484617681         14115.02247        0.7139704063         3298.243586
                2.25          -1.4632053         13711.79936        0.6789676156         3002.256139
                2.26        -1.440914044         13299.50273        0.6146028969         2586.133628
               2.261        -1.443705519         13348.83781        0.6529262969         2778.656273
               2.262        -1.437163825         13229.97313        0.6217737719          2583.43714
               2.263        -1.437633675         13238.33904         0.627324775         2628.537155
               2.264        -1.435079294         13191.93071        0.6159380344         2552.926263
               2.265        -1.428916644         13079.30662         0.591395425         2403.597332
               2.266        -1.427511594          13053.6523        0.5937733969         2388.505839
               2.267        -1.425097719         13009.68571        0.5843963375         2348.463258
               2.268        -1.429516187         13089.25274        0.6266253156         2587.879332
               2.269        -1.425776481         13021.63932        0.5993403375         2444.298489
                2.27        -1.420726494         12929.62483        0.5792342781         2292.726932
               2.271        -1.420204419         12919.83399        0.5880587375         2345.776542
               2.272          -1.4132816         12795.42048        0.5504903656         2158.584647
               2.273        -1.415649081         12837.30307        0.5888963625         2316.286263
               2.274        -1.402178663         12596.14119         0.500771675         1850.742487
               2.275        -1.404446087         12636.22347        0.5135987813         1929.433039
               2.276        -1.413182606         12792.55628           0.5832456         2300.931929
               2.277        -1.400679025         12568.86408        0.5225072313         1948.743982
               2.278        -1.406379725         12669.66221        0.5739415719         2205.164442
               2.279        -1.400522669         12565.38745        0.5222890156         1957.892805
                2.28        -1.401326419         12579.93564        0.5334076344         2021.431563
                2.29        -1.370676569         12036.24924        0.4273692375          1413.67423
                 2.3        -1.352217719         11714.52011        0.3930032688         1244.095897
                2.31        -1.329087612         11315.73914        0.3133777062         840.4139599
                2.32         -1.31066895         11003.80305         0.267187925         644.6933994
                2.37        -1.240099975         9849.243814        0.1688088594         267.8846236
                2.42        -1.182858606         8960.879108         0.119671725         142.7894701
                2.47        -1.132709688         8217.004546       0.08827509062         76.56760554
                2.52        -1.089571338         7603.051229       0.07402403125         54.90999131
                2.57        -1.050075437         7061.922816       0.06586910625         43.05159597
